


 body shape

    x         y

  1.0000    0.0000
  0.9990   -0.0001
  0.9960   -0.0003
  0.9911   -0.0007
  0.9841   -0.0012
  0.9753   -0.0018
  0.9646   -0.0026
  0.9520   -0.0035
  0.9376   -0.0046
  0.9215   -0.0057
  0.9038   -0.0070
  0.8844   -0.0084
  0.8636   -0.0098
  0.8413   -0.0114
  0.8176   -0.0130
  0.7928   -0.0147
  0.7667   -0.0165
  0.7397   -0.0183
  0.7117   -0.0202
  0.6829   -0.0220
  0.6534   -0.0240
  0.6233   -0.0259
  0.5927   -0.0278
  0.5618   -0.0296
  0.5307   -0.0315
  0.4994   -0.0332
  0.4682   -0.0348
  0.4371   -0.0363
  0.4063   -0.0376
  0.3760   -0.0387
  0.3463   -0.0398
  0.3172   -0.0407
  0.2888   -0.0414
  0.2612   -0.0420
  0.2346   -0.0423
  0.2089   -0.0423
  0.1844   -0.0420
  0.1610   -0.0414
  0.1389   -0.0405
  0.1182   -0.0392
  0.0990   -0.0375
  0.0813   -0.0354
  0.0651   -0.0330
  0.0506   -0.0302
  0.0379   -0.0270
  0.0269   -0.0234
  0.0177   -0.0195
  0.0104   -0.0151
  0.0050   -0.0104
  0.0015   -0.0054
  0.0000    0.0000
  0.0004    0.0056
  0.0029    0.0112
  0.0073    0.0169
  0.0137    0.0225
  0.0221    0.0282
  0.0323    0.0337
  0.0445    0.0391
  0.0586    0.0444
  0.0744    0.0495
  0.0920    0.0543
  0.1112    0.0588
  0.1321    0.0630
  0.1545    0.0667
  0.1782    0.0701
  0.2033    0.0729
  0.2296    0.0752
  0.2570    0.0770
  0.2854    0.0783
  0.3147    0.0789
  0.3447    0.0790
  0.3753    0.0786
  0.4063    0.0776
  0.4376    0.0761
  0.4690    0.0743
  0.5006    0.0721
  0.5321    0.0695
  0.5635    0.0667
  0.5947    0.0636
  0.6254    0.0603
  0.6556    0.0568
  0.6852    0.0531
  0.7141    0.0493
  0.7421    0.0454
  0.7691    0.0414
  0.7950    0.0375
  0.8198    0.0335
  0.8433    0.0296
  0.8654    0.0259
  0.8861    0.0222
  0.9052    0.0187
  0.9228    0.0154
  0.9387    0.0124
  0.9528    0.0096
  0.9652    0.0072
  0.9757    0.0050
  0.9844    0.0033
  0.9912    0.0018
  0.9961    0.0008
  0.9990    0.0002
 Total Lift :   337.4699       [N]
